Transaction ID,User ID,Transaction Date,Transaction Time,Product ID,Product Price,Quantity,Discount Applied,Payment Method,User Age,User Gender,User Location,User Membership Status,Device Used,Referral Source,Transaction Status,User Tenure,Product Category,Amount
25,26088,2023-12-01,18:44:55,1073,92.8,2,5,Credit Card,30,Female,Athens,Regular,Desktop,Social Media,Completed,23,Clothing,185.6
26,28706,2023-01-13,19:29:06,1074,112.6,2,5,PayPal,36,Male,Athens,Regular,Mobile,Referral,Completed,36,Home & Kitchen,225.2
27,28365,2023-12-01,16:18:20,1019,142.0,2,5,Credit Card,28,Male,Athens,Regular,Desktop,Social Media,Completed,30,Home & Kitchen,284.0
28,26234,2023-12-04,01:36:06,1084,139.1,2,20,Credit Card,31,Male,Athens,Premium,Mobile,Social Media,Completed,31,Home & Kitchen,278.2
29,19264,2023-01-24,01:20:53,1003,97.8,1,5,Credit Card,29,Male,Heraklion,Premium,Mobile,Social Media,Pending,30,Home & Kitchen,97.8
30,26097,2023-04-23,19:03:03,1016,102.8,2,30,Credit Card,38,Male,Athens,Premium,Desktop,Referral,Completed,15,Books,205.6
31,15781,2023-08-31,19:27:03,1082,112.25,1,5,Credit Card,32,Female,Thessaloniki,Regular,Desktop,Referral,Completed,13,Clothing,112.25
32,3476,2023-09-01,15:12:21,1004,75.14999999999999,1,30,Credit Card,25,Female,Thessaloniki,Premium,Desktop,Organic,Completed,57,Clothing,75.14999999999999
33,25566,2023-12-06,18:00:53,1065,81.69,4,20,Credit Card,43,Female,Chalkida,Premium,Mobile,Organic,Completed,46,Books,326.76
34,7480,2023-09-01,19:17:04,1009,77.9,2,20,PayPal,43,Male,Heraklion,Premium,Desktop,Referral,Canceled,7,Electronics,155.8
35,25318,2023-02-02,05:49:36,1005,132.1,2,5,Credit Card,30,Male,Athens,Regular,Desktop,Social Media,Completed,49,Electronics,264.2
36,25715,2023-05-24,23:38:17,1080,95.3,2,20,Credit Card,25,Male,Heraklion,Premium,Mobile,Social Media,Completed,20,Electronics,190.6
37,2483,2023-09-25,11:20:05,1072,66.14999999999999,2,5,Credit Card,41,Female,Chalkida,Regular,Desktop,Social Media,Canceled,30,Clothing,132.29999999999998
38,10252,2023-12-16,12:03:53,1095,100.4,2,20,Credit Card,31,Male,Athens,Premium,Desktop,Referral,Completed,39,Home & Kitchen,200.8
39,4483,2023-12-10,18:43:42,1032,93.5,2,5,Credit Card,40,Male,Athens,Regular,Mobile,Organic,Completed,43,Clothing,187.0
40,3965,2023-09-26,00:38:21,1078,134.2,1,5,Credit Card,36,Male,Athens,Regular,Desktop,Social Media,Completed,57,Home & Kitchen,134.2
41,9251,2023-12-06,17:55:13,1045,141.2,2,10,Credit Card,34,Male,Athens,Premium,Desktop,Social Media,Completed,42,Home & Kitchen,282.4
42,27498,2023-12-05,22:32:59,1082,106.3,2,20,Credit Card,35,Male,Athens,Premium,Desktop,Referral,Completed,34,Sports,212.6
43,21822,2023-03-13,23:16:09,1080,112.5,2,15,Credit Card,37,Male,Athens,Premium,Mobile,Social Media,Completed,58,Books,225.0
44,25959,2023-09-04,11:09:05,1097,134.8,2,30,Credit Card,32,Female,Athens,Premium,Mobile,Social Media,Completed,31,Home & Kitchen,269.6
45,3974,2023-09-19,20:07:27,1000,120.59,3,5,Credit Card,34,Male,Patras,Premium,Mobile,Social Media,Completed,25,Home & Kitchen,361.77
46,5881,2023-01-25,08:53:15,1009,89.3,2,15,Credit Card,25,Male,Athens,Premium,Mobile,Social Media,Completed,14,Electronics,178.6
47,1361,2023-03-09,09:34:23,1006,87.8,2,25,PayPal,43,Male,Athens,Premium,Mobile,Organic,Completed,33,Clothing,175.6
48,1386,2023-12-11,11:58:41,1046,83.9,4,20,Credit Card,34,Male,Athens,Premium,Desktop,Social Media,Completed,41,Books,335.6
49,26339,2023-07-29,21:39:22,1072,178.9,2,15,Credit Card,38,Male,Athens,Premium,Mobile,Social Media,Completed,44,Electronics,357.8
50,23304,2023-01-12,19:14:11,1095,154.1,1,5,Credit Card,31,Male,Athens,Premium,Mobile,Social Media,Completed,39,Electronics,154.1
51,17714,2023-12-10,04:13:55,1062,144.9,2,0,Credit Card,43,Male,Athens,Premium,Desktop,Social Media,Completed,13,Clothing,289.8
52,3462,2023-01-13,19:33:06,1001,148.6,3,15,Credit Card,35,Female,Athens,Regular,Mobile,Organic,Completed,59,Clothing,445.79999999999995
53,8273,2023-01-31,20:58:08,1023,111.25,2,15,Credit Card,27,Male,Thessaloniki,Premium,Mobile,Social Media,Pending,40,Clothing,222.5
54,3827,2023-12-19,11:50:46,1002,150.3,2,0,Debit Card,32,Female,Athens,Premium,Desktop,Social Media,Completed,13,Clothing,300.6
55,26880,2023-11-30,19:43:50,1021,94.14999999999999,2,5,PayPal,35,Female,Patras,Regular,Mobile,Social Media,Completed,51,Home & Kitchen,188.29999999999998
56,10548,2023-08-22,08:38:32,1027,117.0,2,25,Debit Card,43,Male,Athens,Premium,Desktop,Social Media,Completed,58,Home & Kitchen,234.0
57,15748,2023-12-14,06:39:05,1082,124.6,2,30,PayPal,28,Male,Athens,Premium,Mobile,Social Media,Completed,41,Sports,249.2
58,4154,2023-04-14,22:47:29,1091,111.75,2,15,Credit Card,33,Female,Thessaloniki,Regular,Mobile,Social Media,Completed,7,Clothing,223.5
59,12066,2023-12-20,15:46:23,1074,138.4,2,5,Credit Card,39,Female,Athens,Regular,Desktop,Organic,Canceled,25,Electronics,276.8
60,18815,2023-02-12,16:09:47,1073,119.5,1,20,Debit Card,34,Female,Athens,Premium,Desktop,Social Media,Completed,24,Electronics,119.5
61,28729,2023-06-08,04:39:27,1032,86.25,2,30,Credit Card,41,Male,Heraklion,Premium,Desktop,Social Media,Completed,21,Books,172.5
62,3981,2023-09-13,22:24:25,1030,141.3,2,25,Credit Card,32,Female,Athens,Premium,Mobile,Referral,Completed,19,Clothing,282.6
63,9409,2023-05-30,17:13:22,1089,115.0,2,20,Credit Card,42,Male,Athens,Premium,Mobile,Social Media,Completed,17,Sports,230.0
64,13380,2023-05-19,03:07:07,1093,156.2,2,30,Credit Card,28,Male,Athens,Premium,Mobile,Social Media,Completed,9,Sports,312.4
65,13996,2023-09-01,10:21:25,1093,110.7,3,20,Credit Card,40,Female,Athens,Premium,Mobile,Social Media,Completed,2,Clothing,332.1
66,5076,2023-12-24,08:09:45,1024,157.3,3,30,Debit Card,39,Female,Athens,Premium,Desktop,Social Media,Canceled,49,Clothing,471.90000000000003
67,26807,2023-06-23,20:41:35,1029,76.1,2,20,Credit Card,24,Male,Athens,Premium,Mobile,Social Media,Completed,53,Sports,152.2
68,3313,2023-09-21,21:39:58,1024,96.25,2,5,Credit Card,40,Male,Thessaloniki,Regular,Mobile,Social Media,Completed,34,Home & Kitchen,192.5
69,23082,2023-12-22,08:02:19,1076,102.3,2,25,Credit Card,29,Male,Athens,Premium,Mobile,Social Media,Completed,27,Home & Kitchen,204.6
70,27633,2023-01-14,00:47:57,1062,92.4,3,5,Credit Card,36,Female,Athens,Regular,Mobile,Social Media,Completed,3,Sports,277.20000000000005
71,22971,2023-01-24,10:15:44,1031,56.99,1,30,PayPal,26,Female,Heraklion,Premium,Mobile,Referral,Completed,17,Home & Kitchen,56.99
72,9853,2023-08-24,06:57:43,1099,86.4,2,25,Credit Card,33,Male,Heraklion,Premium,Desktop,Social Media,Completed,33,Clothing,172.8
73,14819,2023-08-13,21:34:33,1031,43.59,2,5,Credit Card,43,Male,Heraklion,Premium,Mobile,Organic,Completed,59,Home & Kitchen,87.18
74,14943,2023-09-21,01:14:13,1080,110.1,2,5,Credit Card,29,Female,Athens,Regular,Desktop,Social Media,Completed,26,Clothing,220.2
75,28805,2023-02-03,06:27:03,1079,173.2,2,5,PayPal,25,Female,Athens,Premium,Mobile,Social Media,Completed,8,Clothing,346.4
76,16137,2023-09-07,15:45:22,1093,91.4,4,5,Credit Card,24,Female,Athens,Premium,Mobile,Social Media,Completed,26,Clothing,365.6
77,7095,2023-12-01,10:29:38,1008,90.59,2,5,Credit Card,35,Male,Heraklion,Regular,Desktop,Social Media,Completed,4,Electronics,181.18
78,23511,2023-10-14,17:39:20,1094,144.1,4,5,Credit Card,24,Male,Athens,Regular,Desktop,Social Media,Completed,16,Clothing,576.4
79,9965,2023-03-05,05:55:40,1031,125.5,2,20,Credit Card,24,Male,Athens,Premium,Desktop,Social Media,Completed,59,Sports,251.0
80,5731,2023-05-27,22:40:58,1076,99.7,1,5,Debit Card,39,Male,Athens,Regular,Desktop,Social Media,Completed,17,Electronics,99.7
81,12635,2023-09-18,06:19:45,1036,167.1,2,0,Credit Card,27,Male,Athens,Regular,Desktop,Social Media,Canceled,47,Home & Kitchen,334.2
82,7331,2023-03-25,18:33:09,1084,98.69,1,10,Credit Card,25,Male,Thessaloniki,Premium,Mobile,Social Media,Completed,17,Electronics,98.69
83,13971,2023-11-30,18:49:57,1071,110.9,2,5,Credit Card,28,Female,Athens,Regular,Mobile,Referral,Completed,12,Clothing,221.8
84,18694,2023-05-14,00:35:57,1037,131.0,2,25,Credit Card,38,Male,Athens,Premium,Desktop,Referral,Completed,12,Clothing,262.0
85,5349,2023-11-26,02:33:21,1083,98.2,2,20,Credit Card,29,Male,Athens,Premium,Mobile,Referral,Completed,57,Sports,196.4
86,25608,2023-11-29,21:28:06,1083,122.8,2,15,Credit Card,35,Female,Athens,Regular,Mobile,Referral,Completed,50,Clothing,245.6
87,17207,2023-09-03,14:30:05,1070,102.75,2,5,Credit Card,42,Male,Patras,Premium,Desktop,Social Media,Completed,48,Electronics,205.5
88,18222,2023-12-02,16:37:10,1048,180.0,2,20,Debit Card,34,Male,Athens,Premium,Mobile,Referral,Completed,55,Home & Kitchen,360.0
89,23409,2023-10-14,10:00:50,1020,109.9,4,5,PayPal,24,Female,Athens,Regular,Mobile,Social Media,Completed,27,Clothing,439.6
90,11287,2023-12-12,23:57:01,1016,54.4,2,5,Credit Card,41,Female,Chalkida,Regular,Desktop,Social Media,Completed,20,Home & Kitchen,108.8
91,27195,2023-11-25,01:33:43,1069,108.35,3,5,PayPal,31,Male,Thessaloniki,Regular,Desktop,Social Media,Completed,28,Books,325.04999999999995
92,20970,2023-02-04,05:42:25,1019,114.3,3,5,PayPal,25,Male,Athens,Regular,Desktop,Organic,Completed,18,Sports,342.9
93,16802,2023-09-05,22:41:45,1024,97.2,2,30,Credit Card,26,Male,Thessaloniki,Premium,Mobile,Social Media,Completed,12,Books,194.4
94,3852,2023-12-15,02:49:28,1099,130.0,2,15,Credit Card,41,Male,Athens,Premium,Desktop,Social Media,Completed,30,Books,260.0
95,24710,2023-09-19,10:00:36,1056,104.4,1,5,Credit Card,26,Female,Athens,Regular,Desktop,Social Media,Completed,34,Electronics,104.4
96,13618,2023-12-18,23:48:04,1073,139.7,3,5,PayPal,39,Male,Athens,Premium,Mobile,Social Media,Completed,44,Clothing,419.09999999999997
97,25062,2023-09-13,16:11:10,1061,82.7,2,5,Credit Card,32,Female,Heraklion,Regular,Desktop,Social Media,Completed,9,Home & Kitchen,165.4
98,15785,2023-12-13,13:01:11,1092,105.5,2,30,Credit Card,33,Male,Athens,Premium,Mobile,Organic,Completed,22,Clothing,211.0
99,19159,2023-12-02,21:48:29,1023,81.9,4,10,PayPal,29,Male,Thessaloniki,Premium,Mobile,Social Media,Completed,35,Sports,327.6
100,18645,2023-12-16,06:23:39,1084,155.2,2,15,PayPal,26,Male,Athens,Premium,Mobile,Social Media,Completed,15,Books,310.4
101,28982,2023-11-04,16:25:19,1090,125.7,2,5,Credit Card,26,Male,Athens,Regular,Desktop,Social Media,Completed,24,Electronics,251.4
102,3683,2023-11-27,21:10:26,1004,75.09,2,20,Credit Card,42,Female,Patras,Premium,Desktop,Social Media,Completed,28,Clothing,150.18
103,9868,2023-04-19,21:39:33,1081,70.4,1,10,Credit Card,25,Male,Athens,Regular,Desktop,Organic,Completed,41,Clothing,70.4
104,13976,2023-04-11,14:03:53,1001,94.7,2,0,Credit Card,34,Male,Athens,Premium,Desktop,Social Media,Completed,58,Books,189.4
105,16878,2023-06-09,16:56:03,1025,102.9,2,15,Debit Card,40,Male,Athens,Premium,Mobile,Social Media,Completed,4,Home & Kitchen,205.8
106,7302,2023-12-09,01:15:27,1038,110.9,3,5,PayPal,36,Female,Athens,Premium,Mobile,Social Media,Completed,8,Clothing,332.70000000000005
107,27573,2023-01-23,02:21:11,1049,88.1,4,5,Credit Card,36,Female,Athens,Regular,Desktop,Social Media,Completed,27,Home & Kitchen,352.4
108,3184,2023-01-01,23:00:36,1025,117.3,3,25,Credit Card,32,Male,Athens,Premium,Desktop,Social Media,Completed,7,Books,351.9
109,4554,2023-12-09,14:20:58,1032,65.6,4,30,Credit Card,27,Male,Heraklion,Premium,Mobile,Social Media,Completed,45,Electronics,262.4
110,27832,2023-04-04,10:33:07,1094,94.3,3,5,Credit Card,40,Male,Athens,Premium,Mobile,Social Media,Completed,16,Books,282.9
111,27609,2023-07-31,07:42:59,1071,114.1,1,0,Credit Card,43,Male,Athens,Regular,Mobile,Social Media,Completed,46,Books,114.1
112,29190,2023-08-29,19:09:55,1006,135.3,2,5,Credit Card,32,Male,Athens,Regular,Desktop,Social Media,Completed,37,Sports,270.6
113,3079,2023-12-03,14:00:24,1027,154.2,2,5,PayPal,27,Male,Athens,Premium,Mobile,Referral,Completed,1,Electronics,308.4
114,3425,2023-12-08,18:46:06,1081,83.2,4,10,Credit Card,28,Male,Heraklion,Regular,Desktop,Social Media,Completed,1,Sports,332.8
115,3563,2023-12-08,01:25:36,1060,103.8,2,20,Credit Card,34,Male,Athens,Premium,Desktop,Social Media,Completed,53,Sports,207.6
116,27479,2023-11-27,17:57:45,1095,41.15,3,5,Credit Card,43,Male,Chalkida,Premium,Desktop,Social Media,Completed,16,Sports,123.44999999999999
117,19120,2023-11-12,19:33:08,1067,109.4,1,10,Credit Card,33,Male,Athens,Premium,Mobile,Organic,Pending,25,Books,109.4
118,23412,2023-01-08,00:43:38,1087,120.4,2,30,Credit Card,40,Female,Athens,Premium,Desktop,Social Media,Pending,5,Home & Kitchen,240.8
119,10868,2023-09-07,11:53:39,1078,95.14999999999999,2,5,Credit Card,35,Female,Heraklion,Premium,Mobile,Social Media,Completed,24,Clothing,190.29999999999998
120,2776,2023-02-23,21:24:25,1014,136.2,4,5,PayPal,33,Female,Athens,Premium,Desktop,Social Media,Completed,26,Clothing,544.8
121,19133,2023-12-18,09:52:58,1023,105.6,2,5,Credit Card,33,Male,Athens,Regular,Desktop,Social Media,Completed,10,Sports,211.2
122,14445,2023-12-11,03:37:55,1012,73.49000000000001,2,5,Credit Card,24,Male,Heraklion,Regular,Desktop,Social Media,Completed,49,Books,146.98000000000002
123,10103,2023-12-18,23:27:03,1081,67.0,2,25,Debit Card,26,Male,Chalkida,Premium,Mobile,Social Media,Completed,47,Clothing,134.0
124,26288,2023-11-30,17:31:48,1072,141.7,4,10,Credit Card,24,Male,Athens,Premium,Desktop,Social Media,Completed,50,Books,566.8
125,4813,2023-11-27,23:50:12,1091,77.75,2,30,Credit Card,32,Male,Heraklion,Premium,Mobile,Social Media,Completed,8,Electronics,155.5
126,22638,2023-01-21,14:46:22,1079,112.2,2,5,Credit Card,39,Female,Athens,Premium,Mobile,Social Media,Pending,14,Books,224.4
127,23017,2023-12-20,13:32:59,1089,71.35,1,15,Credit Card,39,Male,Heraklion,Premium,Mobile,Social Media,Completed,31,Sports,71.35
128,25005,2023-09-02,12:44:10,1055,101.5,2,5,Credit Card,27,Female,Athens,Premium,Mobile,Referral,Completed,11,Clothing,203.0
129,27422,2023-08-23,10:11:31,1048,105.3,4,5,Credit Card,35,Male,Athens,Regular,Desktop,Social Media,Completed,2,Clothing,421.2
130,8960,2023-10-11,08:58:08,1012,64.5,4,5,Credit Card,43,Male,Athens,Regular,Desktop,Referral,Completed,15,Books,258.0
131,24046,2023-12-08,17:25:55,1019,116.5,2,30,Credit Card,41,Male,Athens,Premium,Desktop,Social Media,Completed,46,Home & Kitchen,233.0
132,4350,2023-12-20,22:45:15,1045,44.05,1,20,Credit Card,42,Male,Patras,Premium,Mobile,Organic,Completed,45,Home & Kitchen,44.05
133,10952,2023-01-16,07:25:05,1017,131.5,2,20,PayPal,31,Male,Athens,Premium,Desktop,Social Media,Canceled,21,Sports,263.0
134,27225,2023-09-17,10:08:57,1004,164.9,2,5,Credit Card,26,Male,Athens,Regular,Mobile,Social Media,Completed,4,Sports,329.8
135,26493,2023-02-27,09:22:15,1025,159.9,2,25,Credit Card,30,Female,Athens,Premium,Mobile,Social Media,Completed,43,Clothing,319.8
136,29171,2023-12-14,06:02:37,1086,84.4,2,25,Debit Card,32,Male,Athens,Premium,Mobile,Social Media,Completed,10,Clothing,168.8
137,29130,2023-02-03,10:54:44,1065,71.9,4,30,Credit Card,39,Male,Athens,Premium,Desktop,Social Media,Completed,31,Books,287.6
138,15911,2023-12-14,16:23:28,1004,88.0,2,5,Credit Card,34,Male,Chalkida,Regular,Desktop,Social Media,Canceled,57,Electronics,176.0
139,7557,2023-12-21,16:00:33,1028,79.0,2,5,Credit Card,24,Male,Athens,Regular,Desktop,Social Media,Completed,9,Books,158.0
140,2642,2023-07-28,16:15:28,1006,151.0,2,5,Credit Card,39,Male,Athens,Regular,Desktop,Referral,Completed,53,Home & Kitchen,302.0
141,28253,2023-11-27,05:08:02,1000,128.0,2,20,Credit Card,35,Female,Athens,Premium,Desktop,Referral,Completed,42,Home & Kitchen,256.0
142,15921,2023-12-07,12:58:11,1081,163.0,4,20,Credit Card,40,Male,Athens,Premium,Mobile,Social Media,Completed,20,Electronics,652.0
143,17605,2023-12-18,20:44:26,1050,122.8,2,5,PayPal,29,Female,Athens,Premium,Desktop,Social Media,Completed,16,Home & Kitchen,245.6
144,15371,2023-08-25,03:37:12,1042,160.1,1,5,Credit Card,26,Male,Athens,Premium,Desktop,Social Media,Completed,34,Clothing,160.1
145,6445,2023-12-22,02:14:34,1050,90.8,1,5,PayPal,28,Female,Athens,Premium,Desktop,Social Media,Completed,39,Home & Kitchen,90.8
146,15957,2023-09-11,15:39:09,1048,125.6,1,5,Credit Card,36,Female,Athens,Premium,Mobile,Social Media,Completed,2,Clothing,125.6
147,10092,2023-08-30,15:49:25,1078,134.5,2,30,Credit Card,43,Male,Athens,Premium,Mobile,Social Media,Completed,35,Electronics,269.0
148,5568,2023-12-11,23:29:12,1091,123.0,4,5,Credit Card,28,Male,Athens,Regular,Desktop,Social Media,Completed,5,Home & Kitchen,492.0
149,1493,2023-12-19,06:40:28,1054,96.19,2,15,Credit Card,40,Male,Thessaloniki,Regular,Mobile,Social Media,Completed,39,Clothing,192.38
150,2699,2023-06-09,00:11:21,1033,75.6,2,5,Credit Card,39,Male,Heraklion,Regular,Desktop,Social Media,Completed,3,Home & Kitchen,151.2
151,22511,2023-02-12,05:52:52,1073,138.9,2,15,Credit Card,35,Male,Athens,Premium,Mobile,Social Media,Completed,50,Home & Kitchen,277.8
152,1429,2023-05-01,11:30:21,1001,98.3,2,5,Credit Card,40,Male,Thessaloniki,Premium,Desktop,Social Media,Pending,57,Electronics,196.6
153,29169,2023-11-30,21:11:53,1070,137.8,2,0,Credit Card,25,Female,Athens,Premium,Desktop,Social Media,Completed,43,Clothing,275.6
154,10780,2023-09-09,23:11:20,1027,91.8,3,0,Credit Card,43,Male,Athens,Premium,Desktop,Social Media,Completed,26,Home & Kitchen,275.4
155,12725,2023-01-17,06:23:05,1005,89.95,4,5,Credit Card,24,Female,Heraklion,Regular,Desktop,Referral,Completed,51,Clothing,359.8
156,3105,2023-02-28,00:04:39,1080,61.7,3,5,Credit Card,37,Male,Thessaloniki,Regular,Desktop,Organic,Completed,20,Home & Kitchen,185.10000000000002
157,26086,2023-08-27,13:53:13,1025,65.3,3,5,Credit Card,25,Male,Athens,Regular,Mobile,Social Media,Completed,30,Sports,195.89999999999998
158,1952,2023-02-02,18:49:30,1032,108.4,2,10,Credit Card,41,Female,Athens,Regular,Desktop,Social Media,Completed,30,Electronics,216.8
159,18326,2023-04-23,20:07:33,1082,145.9,3,5,Credit Card,24,Male,Athens,Premium,Desktop,Social Media,Completed,20,Sports,437.70000000000005
160,8523,2023-01-27,04:22:07,1041,144.6,4,10,Credit Card,26,Female,Athens,Regular,Mobile,Social Media,Completed,35,Clothing,578.4
161,11579,2023-01-13,14:56:58,1030,139.0,4,30,Credit Card,24,Male,Athens,Premium,Desktop,Referral,Completed,47,Books,556.0
162,13971,2023-07-31,02:45:34,1048,90.1,3,10,Credit Card,26,Female,Athens,Regular,Mobile,Social Media,Completed,12,Books,270.29999999999995
163,24838,2023-11-25,18:33:04,1092,132.8,2,5,Credit Card,43,Female,Athens,Regular,Mobile,Social Media,Completed,53,Clothing,265.6
164,27189,2023-12-07,11:14:31,1011,121.4,2,25,Credit Card,42,Male,Athens,Premium,Desktop,Social Media,Pending,41,Books,242.8
165,1186,2023-12-19,12:46:00,1074,127.1,1,5,Credit Card,26,Male,Athens,Premium,Mobile,Social Media,Completed,21,Books,127.1
166,14504,2023-12-14,07:30:27,1056,63.190000000000005,3,5,Credit Card,42,Male,Patras,Premium,Mobile,Referral,Completed,44,Clothing,189.57000000000002
167,23123,2023-12-11,19:56:05,1040,150.3,2,5,Debit Card,35,Male,Athens,Premium,Desktop,Social Media,Completed,14,Clothing,300.6
168,12101,2023-01-07,13:47:24,1069,123.6,4,10,Credit Card,42,Male,Athens,Premium,Desktop,Social Media,Completed,29,Home & Kitchen,494.4
169,28982,2023-02-08,04:08:57,1093,149.6,1,5,PayPal,32,Male,Athens,Regular,Desktop,Social Media,Completed,24,Electronics,149.6
170,29150,2023-01-27,16:45:06,1085,49.790000000000006,1,5,Credit Card,40,Male,Heraklion,Premium,Mobile,Referral,Canceled,38,Electronics,49.790000000000006
171,13435,2023-09-12,06:18:32,1096,97.29,4,20,Credit Card,27,Male,Patras,Premium,Desktop,Social Media,Completed,24,Clothing,389.16
172,25922,2023-04-02,05:26:39,1019,98.7,2,5,Credit Card,28,Female,Athens,Regular,Mobile,Social Media,Pending,34,Clothing,197.4
173,8838,2023-10-18,13:12:47,1090,147.5,2,5,Credit Card,34,Male,Athens,Premium,Mobile,Organic,Completed,12,Books,295.0
174,17653,2023-03-11,23:58:41,1097,122.1,3,5,Credit Card,34,Male,Athens,Regular,Desktop,Social Media,Completed,41,Electronics,366.29999999999995
175,24680,2023-09-18,22:49:44,1011,158.2,3,0,Credit Card,38,Male,Athens,Regular,Desktop,Social Media,Completed,14,Home & Kitchen,474.59999999999997
176,11411,2023-11-03,12:33:25,1066,94.14999999999999,2,5,Credit Card,38,Female,Heraklion,Regular,Desktop,Social Media,Completed,54,Sports,188.29999999999998
177,9377,2023-11-27,08:43:55,1030,147.9,3,5,Credit Card,35,Male,Athens,Regular,Mobile,Referral,Completed,30,Sports,443.70000000000005
178,2570,2023-10-02,01:25:25,1076,100.35,4,5,Credit Card,27,Male,Chalkida,Regular,Mobile,Social Media,Completed,37,Electronics,401.4
179,17322,2023-01-21,00:28:33,1081,120.8,4,15,Credit Card,28,Male,Athens,Premium,Mobile,Social Media,Completed,33,Books,483.2
180,14050,2023-12-20,01:15:06,1084,89.0,3,5,Credit Card,28,Male,Chalkida,Premium,Desktop,Social Media,Completed,9,Clothing,267.0
181,29286,2023-12-13,14:36:57,1064,101.09,2,5,Credit Card,24,Male,Heraklion,Regular,Mobile,Social Media,Completed,24,Books,202.18
182,11190,2023-09-10,07:34:24,1099,84.19,2,10,Credit Card,32,Male,Patras,Premium,Desktop,Social Media,Completed,35,Books,168.38
183,5838,2023-06-30,09:31:08,1085,94.7,2,0,Credit Card,35,Male,Athens,Regular,Desktop,Social Media,Completed,49,Sports,189.4
184,5206,2023-09-17,06:21:50,1063,95.2,2,5,PayPal,25,Male,Athens,Premium,Mobile,Referral,Completed,45,Electronics,190.4
185,2130,2023-09-19,14:20:51,1048,131.0,2,5,Credit Card,34,Male,Athens,Regular,Mobile,Referral,Canceled,1,Books,262.0
